"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_deptimeblk_mean$MEAN"
"136","2300-2359","Delta Air Lines Inc.","Salt Lake City, UT: Salt Lake City International",7255,9.17193426042984
"137","2300-2359","JetBlue Airways","Salt Lake City, UT: Salt Lake City International",16926,28.8347529812606
"138","2300-2359","SkyWest Airlines Inc.","Salt Lake City, UT: Salt Lake City International",43,43
"139","2300-2359","ExpressJet Airlines Inc.","San Antonio, TX: San Antonio International",10,10
"140","2300-2359","Frontier Airlines Inc.","San Antonio, TX: San Antonio International",1387,24.3333333333333
"141","2300-2359","American Airlines Inc.","San Diego, CA: San Diego International",31,0.659574468085106
"142","2300-2359","Delta Air Lines Inc.","San Diego, CA: San Diego International",105,1.640625
"143","2300-2359","Frontier Airlines Inc.","San Diego, CA: San Diego International",0,0
"144","2300-2359","American Airlines Inc.","San Francisco, CA: San Francisco International",12188,14.6843373493976
"145","2300-2359","Delta Air Lines Inc.","San Francisco, CA: San Francisco International",9550,18.4007707129094
"146","2300-2359","Frontier Airlines Inc.","San Francisco, CA: San Francisco International",4382,44.7142857142857
"147","2300-2359","JetBlue Airways","San Francisco, CA: San Francisco International",9145,24.6495956873315
"148","2300-2359","SkyWest Airlines Inc.","San Francisco, CA: San Francisco International",5629,8.93492063492064
"149","2300-2359","United Air Lines Inc.","San Francisco, CA: San Francisco International",33012,13.1364902506964
"150","2300-2359","Virgin America","San Francisco, CA: San Francisco International",4757,9.43849206349206
"151","2300-2359","American Airlines Inc.","San Jose, CA: Norman Y. Mineta San Jose International",36,9
"152","2300-2359","Delta Air Lines Inc.","San Jose, CA: Norman Y. Mineta San Jose International",530,12.0454545454545
"153","2300-2359","JetBlue Airways","San Jose, CA: Norman Y. Mineta San Jose International",2099,17.2049180327869
"154","2300-2359","United Air Lines Inc.","San Jose, CA: Norman Y. Mineta San Jose International",2,2
"155","2300-2359","JetBlue Airways","San Juan, PR: Luis Munoz Marin International",331,110.333333333333
"156","2300-2359","Alaska Airlines Inc.","Seattle, WA: Seattle/Tacoma International",10039,4.97472745292369
"157","2300-2359","American Airlines Inc.","Seattle, WA: Seattle/Tacoma International",5787,11.1934235976789
"158","2300-2359","Delta Air Lines Inc.","Seattle, WA: Seattle/Tacoma International",5648,8.88050314465409
"159","2300-2359","Frontier Airlines Inc.","Seattle, WA: Seattle/Tacoma International",1360,17.6623376623377
"160","2300-2359","JetBlue Airways","Seattle, WA: Seattle/Tacoma International",7520,22.5825825825826
"161","2300-2359","SkyWest Airlines Inc.","Seattle, WA: Seattle/Tacoma International",37,37
"162","2300-2359","United Air Lines Inc.","Seattle, WA: Seattle/Tacoma International",11421,13.3735362997658
"163","2300-2359","Frontier Airlines Inc.","St. Louis, MO: Lambert-St. Louis International",0,0
"164","2300-2359","SkyWest Airlines Inc.","Syracuse, NY: Syracuse Hancock International",51,51
"165","2300-2359","JetBlue Airways","Tampa, FL: Tampa International",48,16
"166","2300-2359","Southwest Airlines Co.","Tampa, FL: Tampa International",162,10.125
"167","2300-2359","American Airlines Inc.","Tucson, AZ: Tucson International",8,0.8
"168","2300-2359","American Airlines Inc.","Washington, DC: Ronald Reagan Washington National",1,1
"169","2300-2359","JetBlue Airways","Washington, DC: Ronald Reagan Washington National",73,24.3333333333333
