"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_arrtimeblk_mean$MEAN"
"193","2300-2359","Southwest Airlines Co.","Las Vegas, NV: McCarran International",83119,17.0325819672131
"194","2300-2359","Spirit Air Lines","Las Vegas, NV: McCarran International",22708,21.9400966183575
"195","2300-2359","United Air Lines Inc.","Las Vegas, NV: McCarran International",678,7.0625
"196","2300-2359","Virgin America","Las Vegas, NV: McCarran International",1094,39.0714285714286
"197","2300-2359","SkyWest Airlines Inc.","Lewiston, ID: Lewiston Nez Perce County",22,22
"198","2300-2359","Alaska Airlines Inc.","Lihue, HI: Lihue Airport",477,5.9625
"199","2300-2359","American Airlines Inc.","Lihue, HI: Lihue Airport",1298,9.98461538461538
"200","2300-2359","Hawaiian Airlines Inc.","Lihue, HI: Lihue Airport",1674,3.73660714285714
"201","2300-2359","ExpressJet Airlines Inc.","Lincoln, NE: Lincoln Airport",86,43
"202","2300-2359","SkyWest Airlines Inc.","Lincoln, NE: Lincoln Airport",0,0
"203","2300-2359","ExpressJet Airlines Inc.","Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",0,0
"204","2300-2359","SkyWest Airlines Inc.","Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",0,0
"205","2300-2359","JetBlue Airways","Long Beach, CA: Long Beach Airport",2484,15.525
"206","2300-2359","Alaska Airlines Inc.","Los Angeles, CA: Los Angeles International",2054,6.18674698795181
"207","2300-2359","American Airlines Inc.","Los Angeles, CA: Los Angeles International",46439,17.2957169459963
"208","2300-2359","Delta Air Lines Inc.","Los Angeles, CA: Los Angeles International",17253,15.281665190434
"209","2300-2359","Frontier Airlines Inc.","Los Angeles, CA: Los Angeles International",467,18.68
"210","2300-2359","JetBlue Airways","Los Angeles, CA: Los Angeles International",1811,8.92118226600985
"211","2300-2359","SkyWest Airlines Inc.","Los Angeles, CA: Los Angeles International",43689,13.2030825022665
"212","2300-2359","Southwest Airlines Co.","Los Angeles, CA: Los Angeles International",73207,24.8749575263337
"213","2300-2359","Spirit Air Lines","Los Angeles, CA: Los Angeles International",14666,18.9483204134367
"214","2300-2359","United Air Lines Inc.","Los Angeles, CA: Los Angeles International",15216,14.0239631336406
"215","2300-2359","Virgin America","Los Angeles, CA: Los Angeles International",8958,14.241653418124
"216","2300-2359","ExpressJet Airlines Inc.","Louisville, KY: Louisville International-Standiford Field",0,0
"217","2300-2359","Southwest Airlines Co.","Lubbock, TX: Lubbock Preston Smith International",0,0
"218","2300-2359","SkyWest Airlines Inc.","Madison, WI: Dane County Regional-Truax Field",127,63.5
"219","2300-2359","ExpressJet Airlines Inc.","Manchester, NH: Manchester-Boston Regional",46,15.3333333333333
"220","2300-2359","Southwest Airlines Co.","Manchester, NH: Manchester-Boston Regional",81,2.61290322580645
"221","2300-2359","American Airlines Inc.","Memphis, TN: Memphis International",8,4
"222","2300-2359","ExpressJet Airlines Inc.","Memphis, TN: Memphis International",1213,14.4404761904762
"223","2300-2359","SkyWest Airlines Inc.","Memphis, TN: Memphis International",0,0
"224","2300-2359","United Air Lines Inc.","Memphis, TN: Memphis International",0,0
"225","2300-2359","American Airlines Inc.","Miami, FL: Miami International",114179,20.2122499557444
"226","2300-2359","Delta Air Lines Inc.","Miami, FL: Miami International",5857,33.6609195402299
"227","2300-2359","Frontier Airlines Inc.","Miami, FL: Miami International",1846,12.0653594771242
"228","2300-2359","United Air Lines Inc.","Miami, FL: Miami International",3644,31.6869565217391
"229","2300-2359","ExpressJet Airlines Inc.","Milwaukee, WI: General Mitchell International",4289,30.2042253521127
"230","2300-2359","Frontier Airlines Inc.","Milwaukee, WI: General Mitchell International",806,13.4333333333333
"231","2300-2359","Southwest Airlines Co.","Milwaukee, WI: General Mitchell International",7706,15.9544513457557
"232","2300-2359","American Airlines Inc.","Minneapolis, MN: Minneapolis-St Paul International",445,18.5416666666667
"233","2300-2359","Delta Air Lines Inc.","Minneapolis, MN: Minneapolis-St Paul International",91498,14.236502256107
"234","2300-2359","ExpressJet Airlines Inc.","Minneapolis, MN: Minneapolis-St Paul International",3991,18.8254716981132
"235","2300-2359","Frontier Airlines Inc.","Minneapolis, MN: Minneapolis-St Paul International",42,8.4
"236","2300-2359","SkyWest Airlines Inc.","Minneapolis, MN: Minneapolis-St Paul International",27424,14.4109301103521
"237","2300-2359","Southwest Airlines Co.","Minneapolis, MN: Minneapolis-St Paul International",1094,20.6415094339623
"238","2300-2359","Spirit Air Lines","Minneapolis, MN: Minneapolis-St Paul International",10399,23.4211711711712
"239","2300-2359","United Air Lines Inc.","Minneapolis, MN: Minneapolis-St Paul International",88,14.6666666666667
"240","2300-2359","Frontier Airlines Inc.","Missoula, MT: Missoula International",724,32.9090909090909
"241","2300-2359","ExpressJet Airlines Inc.","Moline, IL: Quad City International",0,0
"242","2300-2359","American Airlines Inc.","Nashville, TN: Nashville International",134,12.1818181818182
"243","2300-2359","ExpressJet Airlines Inc.","Nashville, TN: Nashville International",5,2.5
"244","2300-2359","Frontier Airlines Inc.","Nashville, TN: Nashville International",2395,29.5679012345679
"245","2300-2359","JetBlue Airways","Nashville, TN: Nashville International",0,0
"246","2300-2359","SkyWest Airlines Inc.","Nashville, TN: Nashville International",49,49
"247","2300-2359","Southwest Airlines Co.","Nashville, TN: Nashville International",34930,15.4420866489832
"248","2300-2359","American Airlines Inc.","New Orleans, LA: Louis Armstrong New Orleans International",66,8.25
